Store,ID,Title,Description
Amazon,0596807260,Programming Entity Framework: Building Data Centric Apps with the ADO.NET Entity Framework,[Description]
Amazon,1449312942,Programming Entity Framework: Code First: Creating and Configuring Data Models from Your Classes,[Description]
Amazon,1512003093,Newbies guide to Entity Framework Code First,[Description]
Amazon,1449312969,"Programming Entity Framework: DbContext: Querying, Changing, and Validating Your Data with Entity Framework",[Description]
Amazon,154055211X,Entity Framework Code First : For Starters,[Description]
Amazon,1532937024,The Entity Framework Code First Handbook,[Description]
Amazon,1533040931,Entity Framework Code First for IT Students,[Description]
Amazon,1540655040,Entity Framework Code FirstIn Your Pocket,[Description]
Amazon,1533047472,Entity Framework Code First for Students,[Description]
Amazon,1540660311,Entity Framework Code FirstWinner,[Description]
GoogleBooks,X63NBgAAQBAJ,Mastering Entity Framework,[Description]
GoogleBooks,_7yYrPHtBNgC,Fluent Entity Framework,[Description]
GoogleBooks,pdqFBwAAQBAJ,Code-First Development with Entity Framework,[Description]
GoogleBooks,gYHtAQAAQBAJ,Entity Framework 6 Recipes,[Description]
